order_id,order_date,customer_id,product_id,region,quantity,unit_price,unit_cost
1001,2026-06-02,C001,P001,South,2,1200,700
1002,2026-06-05,C002,P002,West,1,850,500
1003,2026-06-18,C003,P003,South,4,400,220
1004,2026-07-03,C001,P002,West,3,850,500
1005,2026-07-11,C004,P004,North,2,1500,900
1006,2026-07-25,C005,P001,East,1,1200,700
1007,2026-08-04,C006,P003,South,2,400,220
1008,2026-08-09,C002,P004,West,1,1500,900
1009,2026-08-15,C007,P002,North,2,850,500
1010,2026-08-21,C003,P001,South,1,1200,700
